ORDERNUMBER;QUANTITYORDERED;PRICEEACH;ORDERLINENUMBER;SALES;ORDERDATE;STATUS;QTR_ID;MONTH_ID;YEAR_ID;PRODUCTLINE;MSRP;PRODUCTCODE;CUSTOMERNAME;PHONE;ADDRESSLINE1;ADDRESSLINE2;CITY;STATE;POSTALCODE;COUNTRY;TERRITORY;CONTACTLASTNAME;CONTACTFIRSTNAME;DEALSIZE
10220;37;100;7;5032.74;6/2/2021;Shipped;1;2;2021;Classic Cars;118;S24_4048;Clover Collections, Co.;+353 1862 1555;25 Maiden Lane;Floor No. 4;Dublin;;2;Ireland;EMEA;Cassidy;Dean;Medium
10192;22;100;11;3300.66;7/2/2021;Shipped;4;11;2021;Classic Cars;141;S18_1129;Online Diecast Creations Co.;6035558647;2304 Long Airport Avenue;;Nashua;NH;62005;USA;NA;Young;Valarie;Medium
10241;33;72.65;1;2397.45;7/2/2021;Shipped;2;4;2021;Vintage Cars;60;S18_2248;Mini Caravy;88.60.1555;24, place Kluber;;Strasbourg;;67000;France;EMEA;Citeaux;Frederique;Small
10316;25;100;1;2872.25;8/2/2021;Shipped;4;11;2021;Planes;109;S24_1785;giftsbymail.co.uk;(198) 555-8888;Garden House Crowther Way;;Cowes;Isle of Wight;PO31 7PJ;UK;EMEA;Bennett;Helen;Small
10312;48;100;3;11623.7;9/2/2021;Shipped;4;10;2021;Classic Cars;214;S10_1949;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Large
10143;26;100;11;2612.48;9/2/2021;Shipped;3;8;2021;Ships;90;S700_2047;Mini Creations Ltd.;5085559555;4575 Hillside Dr.;;New Bedford;MA;50553;USA;NA;Tam;Wing C;Small
10193;20;100;4;2279;10/2/2021;Shipped;4;11;2021;Vintage Cars;97;S24_4258;Australian Collectables, Ltd;61-9-3844-6555;7 Allen Street;;Glen Waverly;Victoria;3150;Australia;APAC;Connery;Sean;Small
10282;27;100;6;4364.82;11/2/2021;Shipped;3;8;2021;Classic Cars;151;S12_3148;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Medium
10416;24;100;14;4352.16;11/2/2021;Shipped;2;5;2021;Planes;157;S18_1662;L'ordine Souveniers;0522-556555;Strada Provinciale 124;;Reggio Emilia;;42100;Italy;EMEA;Moroni;Maurizio;Medium
10101;45;31.2;3;1404;11/2/2021;Shipped;1;1;2021;Vintage Cars;33;S24_1937;Blauer See Auto, Co.;+49 69 66 90 2555;Lyonerstr. 34;;Frankfurt;;60528;Germany;EMEA;Keitel;Roland;Small
10378;41;100;2;4894.17;11/2/2021;Shipped;1;2;2021;Classic Cars;80;S24_4620;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Medium
10184;37;100;6;4516.22;12/2/2021;Shipped;4;11;2021;Trucks and Buses;118;S12_4473;Iberia Gift Imports, Corp.;(95) 555 82 82;C/ Romero, 33;;Sevilla;;41101;Spain;EMEA;Roel;Jose Pedro;Medium
10332;35;64.69;8;2264.15;12/2/2021;Shipped;4;11;2021;Vintage Cars;127;S18_2325;AV Stores, Co.;(171) 555-1555;Fauntleroy Circus;;Manchester;;EC2 5NT;UK;EMEA;Ashworth;Victoria;Small
10150;26;100;10;2804.36;12/2/2021;Shipped;3;9;2021;Vintage Cars;104;S18_3136;Dragon Souveniers, Ltd.;+65 221 7555;Bronz Sok., Bronz Apt. 3/6 Tesvikiye;;Singapore;;79903;Singapore;Japan;Natividad;Eric;Small
10259;27;100;8;3657.69;13/2/2021;Shipped;2;6;2021;Classic Cars;169;S18_3232;Handji Gifts& Co;+65 224 1555;Village Close - 106 Linden Road Sandown;2nd Floor;Singapore;;69045;Singapore;APAC;Victorino;Wendy;Medium
10182;39;36.84;6;1436.76;13/2/2021;Shipped;4;11;2021;Vintage Cars;33;S24_1937;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Small
10245;44;100;4;4628.8;13/2/2021;Shipped;2;5;2021;Classic Cars;101;S700_2824;Super Scale Inc.;2035559545;567 North Pendale Street;;New Haven;CT;97823;USA;NA;Murphy;Leslie;Medium
10394;36;62.77;3;2259.72;14/2/2021;Shipped;1;3;2021;Trucks and Buses;54;S32_2509;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Small
10293;22;100;6;2418.24;15/2/2021;Shipped;3;9;2021;Trains;100;S18_3259;Amica Models & Co.;011-4988555;Via Monte Bianco 34;;Torino;;10100;Italy;EMEA;Accorti;Paolo;Small
10145;33;93.9;12;3098.7;16/2/2021;Shipped;3;8;2021;Motorcycles;99;S32_1374;Toys4GrownUps.com;6265557265;78934 Hillside Dr.;;Pasadena;CA;90003;USA;NA;Young;Julie;Medium
10398;36;100;7;3910.32;16/2/2021;Shipped;1;3;2021;Ships;90;S700_2047;Reims Collectables;26.47.1555;59 rue de l'Abbaye;;Reims;;51100;France;EMEA;Henriot;Paul;Medium
10244;40;100;7;4684.8;18/2/2021;Shipped;2;4;2021;Vintage Cars;102;S18_1342;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Medium
10172;42;100;6;4965.24;18/2/2021;Shipped;4;11;2021;Classic Cars;124;S18_1589;Gift Depot Inc.;2035552570;25593 South Bay Ln.;;Bridgewater;CT;97562;USA;NA;King;Julie;Medium
10207;43;100;10;5752.54;18/2/2021;Shipped;4;12;2021;Trucks and Buses;122;S18_2319;Diecast Collectables;6175552555;6251 Ingle Ln.;;Boston;MA;51003;USA;NA;Franco;Valarie;Medium
10280;34;100;7;3474.46;18/2/2021;Shipped;3;8;2021;Vintage Cars;99;S18_3320;Amica Models & Co.;011-4988555;Via Monte Bianco 34;;Torino;;10100;Italy;EMEA;Accorti;Paolo;Medium
10390;50;100;1;7397;18/2/2021;Shipped;1;3;2021;Classic Cars;146;S18_3482;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Large
10145;38;81.36;2;3091.68;18/2/2021;Shipped;3;8;2021;Motorcycles;81;S50_4713;Toys4GrownUps.com;6265557265;78934 Hillside Dr.;;Pasadena;CA;90003;USA;NA;Young;Julie;Medium
10106;30;100;16;3177.3;18/2/2021;Shipped;1;2;2021;Ships;90;S700_2047;Rovelli Gifts;035-640555;Via Ludovico il Moro 22;;Bergamo;;24100;Italy;EMEA;Rovelli;Giovanni;Medium
10178;24;100;12;3492.48;19/2/2021;Shipped;4;11;2021;Classic Cars;136;S10_4757;Alpha Cognac;61.77.6555;1 rue Alsace-Lorraine;;Toulouse;;31000;France;EMEA;Roulet;Annette;Medium
10310;48;100;3;8940.96;19/2/2021;Shipped;4;10;2021;Classic Cars;169;S18_3232;Toms Spezialitten, Ltd;0221-5554327;Mehrheimerstr. 369;;Koln;;50739;Germany;EMEA;Pfalzheim;Henriette;Large
10425;38;100;12;5894.94;21/2/2021;In Process;2;5;2021;Classic Cars;147;S10_4962;La Rochelle Gifts;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;France;EMEA;Labrune;Janine;Medium
10300;29;100;3;3984.6;21/2/2021;Shipped;4;10;2021;Classic Cars;117;S12_3380;Blauer See Auto, Co.;+49 69 66 90 2555;Lyonerstr. 34;;Frankfurt;;60528;Germany;EMEA;Keitel;Roland;Medium
10370;27;56.85;9;1534.95;21/2/2021;Shipped;1;1;2021;Classic Cars;169;S18_3232;Anna's Decorations, Ltd;02 9936 8555;201 Miller Street;Level 15;North Sydney;NSW;2060;Australia;APAC;O'Hara;Anna;Small
